nombre_establecimiento,razon_social,fecha_alta,categoria_actividad,actividad,personas_ocupadas,tipo_empresa,tipo_centro_comercio,centro_comercio,tipo_unidad_economica,direccion,colonia,alcaldia,telefono,correo_electronico,pagina_web,latitud,longitud
FARMACIAS BENAVIDES SUC. CHURUBUSCO,FARMACIAS BENAVIDES SAB DE CV,2010-07-01,Farmacias y salud,Farmacias con minisúper,11 a 30 personas,Pequeña empresa,NA,NA,Fijo,AVENIDA UNIVERSIDAD EXT. 1293  C.P. 3240,ACACIAS,BENITO JUAREZ,NA,clientel@benavides.com.mx,www.benavides.com.mx,19.36078614,-99.17130682
FARMACIAS BENAVIDES SUC. FELIX CUEVAS,FARMACIAS BENAVIDES SAB DE CV,2014-12-01,Farmacias y salud,Farmacias con minisúper,11 a 30 personas,Pequeña empresa,NA,NA,Fijo,EJE VIAL 7 SUR FÉLIX CUEVAS EXT. 120  C.P. 1300,TLACOQUEMECATL DEL VALLE,BENITO JUAREZ,NA,clientel@benavides.com.mx,www.benavides.com.mx,19.37356444,-99.17748946
FARMACIAS BENAVIDES SUC. LAGO ALBERTO,FARMACIAS BENAVIDES SAB DE CV,2014-12-01,Farmacias y salud,Farmacias con minisúper,11 a 30 personas,Pequeña empresa,NA,NA,Fijo,AVENIDA LAGO ALBERTO EXT. 369  C.P. 11320,ANAHUAC II,MIGUEL HIDALGO,NA,clientel@benavides.com.mx,www.benavides.com.mx,19.43894834,-99.18079139
FARMACIAS BENAVIDES SUC. PABELLON DEL VALLE,FARMACIAS BENAVIDES SAB DE CV,2010-07-01,Farmacias y salud,Farmacias con minisúper,6 a 10 personas,Microempresa,NA,NA,Fijo,AVENIDA UNIVERSIDAD EXT. 740  C.P. 3310,STA CRUZ ATOYAC,BENITO JUAREZ,NA,clientel@benavides.com.mx,www.benavides.com.mx,19.37347537,-99.1629117
FARMACIAS BENAVIDES SUC. PASEO ACOXPA,FARMACIAS BENAVIDES SAB DE CV,2012-06-01,Farmacias y salud,Farmacias con minisúper,6 a 10 personas,Microempresa,NA,NA,Fijo,CALZADA ACOXPA EXT. 430  C.P. 14300,VERGEL DE COYOACAN-VERGEL DEL SUR,TLALPAN,NA,NA,NA,19.29740405,-99.13663039
FARMACIAS BENAVIDES SUC. PLAZA INN,FARMACIAS BENAVIDES SAB DE CV,2011-03-01,Farmacias y salud,Farmacias con minisúper,6 a 10 personas,Microempresa,NA,NA,Fijo,AVENIDA INSURGENTES SUR EXT. 1971  C.P. 1020,GUADALUPE INN,ALVARO OBREGON,NA,clientel@benavides.com.mx,www.benavides.com.mx,19.35186548,-99.1861956
FARMACIAS BENAVIDES SUC. PLAZA REAL CUAJIMALPA,FARMACIAS BENAVIDES SAB DE CV,2010-07-01,Farmacias y salud,Farmacias con minisúper,11 a 30 personas,Pequeña empresa,NA,NA,Fijo,AVENIDA JUÁREZ EXT. 49 INT. 101 C.P. 5000,SAN PEDRO CUAJIMALPA (PBLO),CUAJIMALPA DE MORELOS,NA,clientel@benavides.com.mx,www.benavides.com.mx,19.35649196,-99.29798804
FARMACIAS BENAVIDES SUC. PRADO NORTE,FARMACIAS BENAVIDES SAB DE CV,2014-12-01,Farmacias y salud,Farmacias con minisúper,6 a 10 personas,Microempresa,NA,NA,Fijo,CALLE PRADO NORTE EXT. 539  C.P. 11000,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,NA,clientel@benavides.com.mx,www.benavides.com.mx,19.42680036,-99.2136955
FARMACIAS BENAVIDES SUC. REFORMA LANCASTER,FARMACIAS BENAVIDES SAB DE CV,2010-07-01,Farmacias y salud,Farmacias con minisúper,11 a 30 personas,Pequeña empresa,NA,NA,Fijo,AVENIDA PASEO DE LA REFORMA EXT. 350 INT. 2 C.P. 6000,JUAREZ,CUAUHTEMOC,NA,clientel@benavides.com.mx,www.benavides.com.mx,19.42614415,-99.16806294
FARMACIAS BENAVIDES SUC. SANTA FE,FARMACIAS BENAVIDES SAB DE CV,2016-01-01,Farmacias y salud,Farmacias con minisúper,11 a 30 personas,Pequeña empresa,NA,NA,Fijo,AVENIDA SANTA FE EXT. 505 INT. 1 C.P. 5348,CORREDOR SANTA FE,CUAJIMALPA DE MORELOS,NA,clientel@benavides.com.mx,www.benavides.com.mx,19.35776107,-99.27444484
FARMACIAS BENAVIDES SUC. TACUBAYA,FARMACIAS BENAVIDES SAB DE CV,2014-12-01,Farmacias y salud,Farmacias con minisúper,11 a 30 personas,Pequeña empresa,NA,NA,Fijo,AVENIDA REVOLUCIÓN EXT. 153  C.P. 11870,TACUBAYA,MIGUEL HIDALGO,NA,clientel@benavides.com.mx,www.benavides.com.mx,19.40225231,-99.18486845
FARMACIAS BENAVIDES SUC. TINAJAS,FARMACIAS BENAVIDES SAB DE CV,2010-07-01,Farmacias y salud,Farmacias con minisúper,11 a 30 personas,Pequeña empresa,NA,NA,Fijo,AVENIDA TOLUCA EXT. 1180  C.P. 1780,OLIVAR DE LOS PADRES,ALVARO OBREGON,NA,clientel@benavides.com.mx,www.benavides.com.mx,19.33839174,-99.24061338
FARMACIAS BENAVIDES SUC. TRES LAGOS,FARMACIAS BENAVIDES SAB DE CV,2014-12-01,Farmacias y salud,Farmacias con minisúper,6 a 10 personas,Microempresa,NA,NA,Fijo,AVENIDA RÍO CONSULADO EXT. 800  C.P. 2970,DEL GAS (AMPL),AZCAPOTZALCO,NA,clientel@benavides.com.mx,www.benavides.com.mx,19.46390293,-99.15581079
FARMACIAS BENAVIDES SUC. UXMAL,FARMACIAS BENAVIDES SAB DE CV,2016-10-01,Farmacias y salud,Farmacias con minisúper,11 a 30 personas,Pequeña empresa,NA,NA,Fijo,EJE VIAL EJE 7A SUR  GENERAL EMILIANO ZAPATA EXT. 349  C.P. 3310,STA CRUZ ATOYAC,BENITO JUAREZ,NA,clientel@benavides.com.mx,www.benavides.com.mx,19.36769534,-99.15958763
FARMACIAS BENAVIDES SUC. VALLEJO,FARMACIAS BENAVIDES SAB DE CV,2010-07-01,Farmacias y salud,Farmacias con minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALZADA VALLEJO EJE 1 PONIENTE EXT. 1111 INT. 24 C.P. 7710,LA PATERA-CONDOMODULOS (U HAB),GUSTAVO A. MADERO,NA,clientel@benavides.com.mx,www.benavides.com.mx,19.50346984,-99.15703486
FARMACIAS BENAVIDES SUCURSAL TAINE,FARMACIAS BENAVIDES SAB DE CV,2010-07-01,Farmacias y salud,Farmacias con minisúper,11 a 30 personas,Pequeña empresa,NA,NA,Fijo,CALLE HIPÓLITO TAINE EXT. 205  C.P. 11570,CHAPULTEPEC MORALES (POLANCO),MIGUEL HIDALGO,NA,clientel@benavides.com.mx,www.benavides.com.mx,19.43511482,-99.18484511
FARMACIAS BENAVIDESSUC. OASIS,FARMACIAS BENAVIDES SAB DE CV,2017-03-01,Farmacias y salud,Farmacias con minisúper,6 a 10 personas,Microempresa,OTRO CONGLOMERADO,OASIS COYOACÁN,Fijo,AVENIDA UNIVERSIDAD EXT. 1778  C.P. 4310,ROMERO DE TERREROS (COND),COYOACAN,NA,clientel@benavides.com.mx,www.benavides.com.mx,19.34466679,-99.18096938
FARMACIAS BIO X,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA JOSE MARIA MORELOS EXT. 35 INT. 0 C.P. 14500,SAN MIGUEL TOPILEJO (PBLO),TLALPAN,"5522909628",NA,NA,19.20291999,-99.13979171
FARMACIAS BIO-X,NA,2010-07-01,Farmacias y salud,Farmacias con minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE BENITO JUAREZ EXT. 23  C.P. 16810,SAN ANDRES AHUAYUCAN (PBLO),XOCHIMILCO,NA,NA,NA,19.22590825,-99.10793145
FARMACIAS CASAS ALEMAN,FARMACIAS CASAS ALEMAN SA DE CV,2010-07-01,Farmacias y salud,Farmacias sin minisúper,11 a 30 personas,Pequeña empresa,NA,NA,Fijo,CALLE PUERTO TAMPICO EXT. 112  C.P. 7580,CASAS ALEMAN (AMPL) I,GUSTAVO A. MADERO,"5557679878",casas_aleman@hotmail.com,NA,19.47655138,-99.08385787
FARMACIAS CH,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE JUAN PEDRO MARTINEZ   C.P. 9830,LOS ANGELES,IZTAPALAPA,NA,NA,NA,19.34506586,-99.06870711
FARMACIAS COAPA,NA,2014-12-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE COLEGIO DE LA CARIDAD (CLAVEL) EXT. 71 INT. 0 C.P. 14387,EX HACIENDA SAN JUAN DE DIOS,TLALPAN,NA,NA,NA,19.28814121,-99.13040378
FARMACIAS COFA,NA,2019-11-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE DESPOSORIOS EXT. 0 INT. 0 C.P. 9900,SAN ANTONIO (BARR),IZTAPALAPA,NA,NA,NA,19.31006225,-99.07140098
FARMACIAS CON MINISÚPER,FARMEX,2019-11-01,Farmacias y salud,Farmacias con minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA SAN JERONIMO EXT. 4 INT. 0 C.P. 10300,SAN BERNABE OCOTEPEC (PBLO),LA MAGDALENA CONTRERAS,NA,NA,NA,19.31184134,-99.25966377
FARMACIAS CORDOVA,NA,2019-11-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE FLORICULTURA EXT. 253 INT. 0 C.P. 15300,20 DE NOVIEMBRE,VENUSTIANO CARRANZA,NA,NA,NA,19.44779867,-99.1064179
FARMACIAS DANA,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE BENITO JUAREZ EXT. 18  C.P. 16810,SAN ANDRES AHUAYUCAN (PBLO),XOCHIMILCO,NA,NA,NA,19.22732911,-99.10767332
FARMACIAS DE CONFIANZA,FARMACIAS DE CONFIANZA SA DE CV,2013-07-01,Farmacias y salud,Farmacias sin minisúper,6 a 10 personas,Microempresa,NA,NA,Fijo,AVENIDA DOCTOR JOSÉ MARÍA VÉRTIZ EXT. 1201 INT. 0 C.P. 3650,LETRAN VALLE,BENITO JUAREZ,NA,NA,NA,19.37805428,-99.15366815
FARMACIAS DE GENERICOS,NA,2014-12-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE PONIENTE 116 EXT. 5003  C.P. 7760,MAGDALENA DE LAS SALINAS,GUSTAVO A. MADERO,NA,alfaq_89@hotmail.com,NA,19.48030322,-99.14787369
FARMACIAS DE GENERICOS,NA,2013-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE XOCHITLAN SUR EXT. 1 INT. 0 C.P. 15660,EL ARENAL 4A SECCION,VENUSTIANO CARRANZA,NA,NA,NA,19.42791685,-99.05641553
FARMACIAS DE GENERICOS,FARMACIA DE DE GENERICOS,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE PABLO GARCIA   C.P. 9100,JUAN ESCUTIA I,IZTAPALAPA,NA,NA,NA,19.39452791,-99.04920322
FARMACIAS DE GENERICOS,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE CARACOL   C.P. 15630,CARACOL,VENUSTIANO CARRANZA,NA,NA,NA,19.4257385,-99.06926481
FARMACIAS DE GENERICOS,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE HERREROS EXT. 0 INT. 0 C.P. 2100,EL ROSARIO A (U HAB),AZCAPOTZALCO,"5523306849",NA,NA,19.51172368,-99.20603829
FARMACIAS DE GENERICOS PANTITLAN,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE AGUSTIN OLACHEA AVILES EXT. 193  C.P. 15670,ADOLFO LOPEZ MATEOS,VENUSTIANO CARRANZA,NA,NA,NA,19.41810853,-99.07343875
FARMACIAS DE GENERICOS PUERTO ARTURO,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Semifijo,CALLE PUERTO ARTURO EXT. 116  C.P. 15430,AQUILES SERDAN,VENUSTIANO CARRANZA,"5557713365",pac2612@hotmail.com,NA,19.44675118,-99.09166989
FARMACIAS DE GENERICOS Y EQUIVALENTES,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA CLAVERIA EXT. 165 INT. 0 C.P. 2080,CLAVERIA,AZCAPOTZALCO,NA,NA,NA,19.46505103,-99.18083575
FARMACIAS DE GENERICOS Y EQUIVALENTES,NA,2016-01-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA 10 EXT. 144 INT. 0 C.P. 15000,IGNACIO ZARAGOZA I,VENUSTIANO CARRANZA,NA,NA,NA,19.41231252,-99.09205189
FARMACIAS DE GENERICOS Y EQUIVALENTES,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE BENITO JUAREZ EXT. 1  C.P. 1290,PRESIDENTES,ALVARO OBREGON,NA,NA,NA,19.37709012,-99.22307322
FARMACIAS DE JESUS,NA,2021-05-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE CUAUHTEMOC   ,SAN PEDRO ATOCPAN (PBLO),MILPA ALTA,NA,NA,NA,19.19881715,-99.04974716
FARMACIAS DE LA ECONOMIA,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE YAQUIS EXT. 36  C.P. 14430,TLALCOLIGIA,TLALPAN,NA,NA,NA,19.27525542,-99.17241444
FARMACIAS DE LA LUZ DIVINA,NA,2019-11-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE ORIENTE 253 EXT. 433 INT. 0 C.P. 8500,AGRICOLA ORIENTAL VII,IZTACALCO,NA,NA,NA,19.38643627,-99.06718633
FARMACIAS DE MEXICO,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE CUAUHTEMOC EXT. 45 INT. 45 C.P. 16090,SAN PEDRO (BARR),XOCHIMILCO,NA,NA,NA,19.25913838,-99.10684111
FARMACIAS DE MULTIGENERICOS,NA,2019-11-01,Farmacias y salud,Farmacias con minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE ESTRELLA BINARIA EXT. 27 INT. 0 C.P. 4810,ESPARTACO,COYOACAN,NA,multifarmaciascoy.gmb@gmail.com,NA,19.31916342,-99.13301288
FARMACIAS DE SALUD,NA,2010-07-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE CONSTITUCION DE 1917 EXT. 0 INT. 0 C.P. 16018,SAN LORENZO LA CEBADA I,XOCHIMILCO,NA,farsalud@hotmail.com,NA,19.28506837,-99.11776924
FARMACIAS DE SILMILARES,FARMACIAS DE SIMILARES SA DE CV,2019-04-01,Farmacias y salud,Farmacias sin minisúper,6 a 10 personas,Microempresa,NA,NA,Fijo,OTRO (ESPECIFIQUE) INSURGENTES SUR EXT. 2383 INT. 0 C.P. 1090,SAN ANGEL,ALVARO OBREGON,NA,NA,NA,19.34114074,-99.19000392
FARMACIAS DE SIMILARES,FARMACIAS DE SIMILARES SA DE CV,2010-07-01,Farmacias y salud,Farmacias sin minisúper,11 a 30 personas,Pequeña empresa,NA,NA,Fijo,CALLE PUERTO TUXPAN EXT. 59  C.P. 7580,CASAS ALEMAN (AMPL) I,GUSTAVO A. MADERO,NA,NA,www.farmaciasdesimilares.com,19.47610211,-99.08162071
FARMACIAS DE SIMILARES,FARMACIAS DE SIMILARES SA DE CV,2010-07-01,Farmacias y salud,Farmacias sin minisúper,11 a 30 personas,Pequeña empresa,NA,NA,Fijo,CALZADA CALZADA DE TLALPAN EXT. 5035  C.P. 14090,TLALPAN CENTRO,TLALPAN,NA,NA,www.farmaciasdesimilares.com,19.28116415,-99.16556882
FARMACIAS DE SIMILARES,FARMACIAS DE SIMILARES SA DE CV,2016-01-01,Farmacias y salud,Farmacias sin minisúper,6 a 10 personas,Microempresa,NA,NA,Fijo,CALLE TOTOMOSCO EXT. 10  C.P. 2050,SANTA MARIA MALINALCO (PBLO),AZCAPOTZALCO,NA,NA,www.farmaciasdesimilares.com,19.47726249,-99.18406995
FARMACIAS DE SIMILARES,FARMACIAS DE SIMILARES SA DE CV,2010-07-01,Farmacias y salud,Farmacias sin minisúper,11 a 30 personas,Pequeña empresa,NA,NA,Fijo,CALLE OCTAVIO SENTIES EXT. 12 INT. 12 C.P. 9609,2A AMPLIACION SANTIAGO ACAHUALTEPEC I,IZTAPALAPA,NA,NA,www.farmaciasdesimilares.com,19.34931335,-99.01151058
FARMACIAS DE SIMILARES,FARMACIAS DE SIMILARES SA DE CV,2014-12-01,Farmacias y salud,Farmacias sin minisúper,6 a 10 personas,Microempresa,NA,NA,Fijo,AVENIDA LA GARITA EXT. 857  C.P. 14390,VILLA COAPA (RDCIAL),TLALPAN,NA,NA,www.farmaciasdesimilares.com,19.29062612,-99.12049465
FARMACIAS DE SIMILARES,FARMACIAS DE SIMILARES SA DE CV,2010-07-01,Farmacias y salud,Farmacias sin minisúper,6 a 10 personas,Microempresa,NA,NA,Fijo,CALZADA MÉXICO-XOCHIMILCO EXT. 16  C.P. 14370,SAN LORENZO HUIPULCO,TLALPAN,NA,NA,www.farmaciasdesimilares.com,19.29701732,-99.15175823
FARMACIAS DE SIMILARES,FARMACIAS DE SIMILARES SA DE CV,2010-07-01,Farmacias y salud,Farmacias sin minisúper,11 a 30 personas,Pequeña empresa,NA,NA,Fijo,CALLE ESCUADRA EXT. 103  C.P. 15830,SEVILLA,VENUSTIANO CARRANZA,NA,NA,www.farmaciasdesimilares.com,19.40910441,-99.12334563
FARMACIAS DE SIMILARES,FARMACIAS DE SIMILARES SA DE CV,2010-07-01,Farmacias y salud,Farmacias sin minisúper,11 a 30 personas,Pequeña empresa,NA,NA,Fijo,CALLE GENERAL MARIANO ESCOBEDO EXT. 164  C.P. 11320,ANAHUAC MARIANO ESCOBEDO,MIGUEL HIDALGO,NA,NA,www.farmaciasdesimilares.com,19.44520643,-99.18266889
FARMACIAS DE SIMILARES,FARMACIAS DE SIMILARES SA DE CV,2010-07-01,Farmacias y salud,Farmacias sin minisúper,11 a 30 personas,Pequeña empresa,NA,NA,Fijo,CALLE MOLIERE EXT. 340  C.P. 11510,MORALES SECCION PALMAS (POLANCO),MIGUEL HIDALGO,NA,NA,www.farmaciasdesimilares.com,19.43702933,-99.20121021
FARMACIAS DE SIMILARES,FARMACIAS DE SIMILARES SA DE CV,2010-07-01,Farmacias y salud,Farmacias sin minisúper,6 a 10 personas,Microempresa,NA,NA,Fijo,CALZADA CALZADA DE TLALPAN EXT. 754  C.P. 3520,IZTACCIHUATL,BENITO JUAREZ,NA,NA,www.farmaciasdesimilares.com,19.39138709,-99.13812492
FARMACIAS DE SIMILARES,FARMACIAS DE SIMILARES SA DE CV,2010-07-01,Farmacias y salud,Farmacias sin minisúper,6 a 10 personas,Microempresa,NA,NA,Fijo,CALLE SERIS EXT. 14  C.P. 2990,LA RAZA,AZCAPOTZALCO,NA,NA,www.farmaciasdesimilares.com,19.46490799,-99.14586787
FARMACIAS DE SIMILARES,FARMACIAS DE SIMILARES SA DE CV,2010-07-01,Farmacias y salud,Farmacias sin minisúper,6 a 10 personas,Microempresa,NA,NA,Fijo,CALLE DOCTOR OLVERA EJE 2 SUR EXT. 1  C.P. 6720,DOCTORES III,CUAUHTEMOC,NA,NA,www.farmaciasdesimilares.com,19.41531378,-99.14405263
FARMACIAS DE SIMILARES,FARMACIAS DE SIMILARES SA DE CV,2010-07-01,Farmacias y salud,Farmacias sin minisúper,11 a 30 personas,Pequeña empresa,NA,NA,Fijo,AVENIDA 6 SUR (INDEPENDENCIA) EXT. 44  C.P. 3630,SAN SIMON TICUMAC,BENITO JUAREZ,NA,NA,www.farmaciasdesimilares.com,19.37805098,-99.14239843
FARMACIAS DE SIMILARES,FARMACIAS DE SIMILARES SA DE CV,2010-07-01,Farmacias y salud,Farmacias sin minisúper,11 a 30 personas,Pequeña empresa,NA,NA,Fijo,CALLE TAJÍN EXT. 100  C.P. 3020,NARVARTE II,BENITO JUAREZ,NA,NA,www.farmaciasdesimilares.com,19.39796338,-99.15269339
FARMACIAS DE SIMILARES,FARMACIAS DE SIMILARES SA DE CV,2014-12-01,Farmacias y salud,Farmacias sin minisúper,6 a 10 personas,Microempresa,NA,NA,Fijo,AVENIDA MIGUEL HIDALGO EXT. 9  C.P. 1408,OLIVAR DEL CONDE 2DA SECCION I,ALVARO OBREGON,NA,NA,www.farmaciasdesimilares.com,19.37243261,-99.21513195
FARMACIAS DE SIMILARES,FARMACIAS DE SIMILARES SA DE CV,2010-07-01,Farmacias y salud,Farmacias sin minisúper,6 a 10 personas,Microempresa,NA,NA,Fijo,CALLE IGNACIO MANUEL ALTAMIRANO EXT. 0  C.P. 6470,SAN RAFAEL II,CUAUHTEMOC,NA,NA,www.farmaciasdesimilares.com,19.4390934,-99.16246344
FARMACIAS DE SIMILARES,FARMACIAS DE SIMILARES SA DE CV,2014-12-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA INSURGENTES SUR EXT. 4087  C.P. 14420,TLALPAN CENTRO,TLALPAN,NA,NA,www.farmaciasdesimilares.com,19.28449514,-99.17580195
FARMACIAS DE SIMILARES,FARMACIAS DE SIMILARES SA DE CV,2014-12-01,Farmacias y salud,Farmacias sin minisúper,11 a 30 personas,Pequeña empresa,NA,NA,Fijo,CALZADA ERMITA IZTAPALAPA EXT. 447  C.P. 4230,CACAMA,IZTAPALAPA,NA,NA,www.farmaciasdesimilares.com,19.35779574,-99.12246353
FARMACIAS DE SIMILARES,FARMACIAS DE SIMILARES SA DE CV,2010-07-01,Farmacias y salud,Farmacias sin minisúper,6 a 10 personas,Microempresa,NA,NA,Fijo,CALLE FELIPE CARRILLO PUERTO EXT. 368 INT. 0 C.P. 11440,PENSIL SAN JUANICO,MIGUEL HIDALGO,NA,NA,www.farmaciasdesimilares.com,19.45167514,-99.18542586
FARMACIAS DE SIMILARES,FARMACIAS DE SIMILARES SA DE CV,2016-01-01,Farmacias y salud,Farmacias sin minisúper,6 a 10 personas,Microempresa,NA,NA,Fijo,CALLE Puente de Guerra EXT. 2 INT. 0 C.P. 2130,TIERRA NUEVA,AZCAPOTZALCO,NA,NA,www.farmaciasdesimilares.com,19.49666796,-99.19908105
FARMACIAS DE SIMILARES,FARMACIAS DE SIMILARES SA DE CV,2016-01-01,Farmacias y salud,Farmacias sin minisúper,6 a 10 personas,Microempresa,NA,NA,Fijo,AVENIDA DOLORES HIDALGO EXT. 0  C.P. 7510,SAN FELIPE DE JESUS IV,GUSTAVO A. MADERO,NA,NA,www.farmaciasdesimilares.com,19.49292512,-99.07649022
FARMACIAS DE SIMILARES,FARMACIAS DE SIMILARES SA DE CV,2019-04-01,Farmacias y salud,Farmacias sin minisúper,0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE Francisco Sarabia EXT. 15 INT. 0 C.P. 9510,SANTA MARTHA ACATITLA_(PBLO),IZTAPALAPA,NA,NA,www.farmaciasdesimilares.com,19.36103975,-99.00845236
FARMACIAS DE SIMILARES,FARMACIAS DE SIMILARES SA DE CV,2010-07-01,Farmacias y salud,Farmacias sin minisúper,6 a 10 personas,Microempresa,NA,NA,Fijo,CALLE PENNSYLVANIA EXT. 116 INT. 0 C.P. 3800,NAPOLES,BENITO JUAREZ,NA,NA,www.farmaciasdesimilares.com,19.39063885,-99.1785621
FARMACIAS DE SIMILARES,FARMACIAS DE SIMILARES SA DE CV,2010-07-01,Farmacias y salud,Farmacias sin minisúper,11 a 30 personas,Pequeña empresa,NA,NA,Fijo,AVENIDA 8 SUR (CALZADA ERMITA IZTAPALAPA) EXT. 4012  C.P. 9500,STA MA AZTAHUACAN (PBLO),IZTAPALAPA,NA,NA,www.farmaciasdesimilares.com,19.34495891,-99.02437419
FARMACIAS DE SIMILARES,FARMACIAS DE SIMILARES SA DE CV,2014-12-01,Farmacias y salud,Farmacias sin minisúper,6 a 10 personas,Microempresa,NA,NA,Fijo,AVENIDA MIGUEL HIDALGO EXT. 45  C.P. 1400,OLIVAR DEL CONDE 2DA SECCION II,ALVARO OBREGON,NA,NA,www.farmaciasdesimilares.com,19.37078743,-99.22101309
FARMACIAS DE SIMILARES,FARMACIAS DE SIMILARES SA DE CV,2010-07-01,Farmacias y salud,Farmacias sin minisúper,6 a 10 personas,Microempresa,OTRO CONGLOMERADO,SIMILARES,Fijo,CALLE ROMERO DE TERREROS EXT. 615 INT. 0 C.P. 3100,DEL VALLE II,BENITO JUAREZ,NA,NA,www.farmaciasdesimilares.com,19.39476158,-99.16629437
FARMACIAS DE SIMILARES,FARMACIAS DE SIMILARES SA DE CV,2010-07-01,Farmacias y salud,Farmacias sin minisúper,11 a 30 personas,Pequeña empresa,NA,NA,Fijo,"CALLE DOCTOR PASTEUR, LINEA 3 METRO HOSPITAL GENERAL EXT. 0 INT. 9 C.P. 6720",DOCTORES IV,CUAUHTEMOC,NA,NA,www.farmaciasdesimilares.com,19.41337445,-99.15381034
FARMACIAS DE SIMILARES,FARMACIAS DE SIMILARES SA DE CV,2014-12-01,Farmacias y salud,Farmacias sin minisúper,6 a 10 personas,Microempresa,NA,NA,Fijo,CALLE AGUSTÍN ROMERO EXT. 676  C.P. 13360,LA CONCHITA II,TLAHUAC,NA,NA,www.farmaciasdesimilares.com,19.28670537,-99.034153
FARMACIAS DE SIMILARES,FARMACIAS DE SIMILARES SA DE CV,2010-07-01,Farmacias y salud,Farmacias sin minisúper,11 a 30 personas,Pequeña empresa,NA,NA,Fijo,AVENIDA SUR 16 EXT. 330  C.P. 8500,AGRICOLA ORIENTAL V,IZTACALCO,NA,NA,www.farmaciasdesimilares.com,19.39458774,-99.07280008
FARMACIAS DE SIMILARES,FARMACIAS DE SIMILARES SA DE CV,2010-07-01,Farmacias y salud,Farmacias sin minisúper,11 a 30 personas,Pequeña empresa,NA,NA,Fijo,CALLE AHUEHUETES EXT. 10 INT. 0 C.P. 16070,EL ROSARIO (BARR),XOCHIMILCO,NA,NA,www.farmaciasdesimilares.com,19.26471082,-99.10308794
FARMACIAS DE SIMILARES,FARMACIAS DE SIMILARES SA DE CV,2010-07-01,Farmacias y salud,Farmacias sin minisúper,6 a 10 personas,Microempresa,NA,NA,Fijo,CALLE Bahía Espíritu Santo EXT. 43 INT. 0 C.P. 11320,ANAHUAC II,MIGUEL HIDALGO,NA,NA,www.farmaciasdesimilares.com,19.43991378,-99.17812472
FARMACIAS DE SIMILARES,FARMACIAS DE SIMILARES SA DE CV,2010-07-01,Farmacias y salud,Farmacias sin minisúper,6 a 10 personas,Microempresa,NA,NA,Fijo,CALZADA CALZADA GENERAL IGNACIO ZARAGOZA EXT. 200  C.P. 15390,7 DE JULIO,VENUSTIANO CARRANZA,NA,NA,www.farmaciasdesimilares.com,19.42896575,-99.11336885
